TÌtulo;Resumo;Selecionado
Sustainability Design and Software: The Karlskrona Manifesto;Sustainability has emerged as a broad concern for society. Many engineering disciplines have been grappling with challenges in how we sustain technical, social and ecological systems. In the software engineering community, for example, maintainability has been a concern for a long time. But too often, these issues are treated in isolation from one another. Misperceptions among practitioners and research communities persist, rooted in a lack of coherent understanding of sustainability, and how it relates to software systems research and practice. This article presents a cross-disciplinary initiative to create a common ground and a point of reference for the global community of research and practice in software and sustainability, to be used for effectively communicating key issues, goals, values and principles of sustainability design for software-intensive systems.The centrepiece of this effort is the Karlskrona Manifesto for Sustainability Design, a vehicle for a much needed conversation about sustainability within and beyond the software community, and an articulation of the fundamental principles underpinning design choices that affect sustainability. We describe the motivation for developing this manifesto, including some considerations of the genre of the manifesto as well as the dynamics of its creation. We illustrate the collaborative reflective writing process and present the current edition of the manifesto itself. We assess immediate implications and applications of the articulated principles, compare these to current practice, and suggest future steps.;1
Digital with Purpose: Delivering a SMARTer 2030;"Digital technology can have ëtransformationalí effect on achieving the UN Sustainable Development Goals
Members must log-in to the GeSI Intranet to download the full report.

Without the proper development and deployment of digital technology, the world will fall short of achieving the 2030 Sustainable Development Goals (SDGs) created by the United Nations (UN) four years ago, according to a new report by the Global e-Sustainability Initiative (GeSI) and Deloitte. 

The report, Digital with Purpose: Delivering a SMARTer2030, identifies and quantifies how digital technologies can help governments, businesses, and philanthropic organizations accelerate their efforts to achieve each of the 17 SDGs. The report considers seven digital technologies which have been chosen as broadly representative of the way digital capability will evolve in the medium term and for their critical influence on the world. These technologies include: digital access, faster internet, cloud, the internet of things (IoT), cognitive, digital reality, and blockchain. Of the 169 SDG targets, 103 are directly influenced by these technologies.

According to the report, which draws on input from academics, NGOs and more than 500 use cases, these technologies, if deployed with positive societal impact in mind, will help accelerate progress toward the SDGs by 22 percent and mitigate downward trends by 23 percent on average. 

The report further finds that by 2030 digital technologies will deliver reductions in carbon emissions equivalent to nearly seven times the size of the growth in the total information and communications technology (ICT) sector emissions footprint over the same period.

ìThese technologies can pave the way for a number of beneficial activities,î says GeSI CEO Luis Neves. ìThey can help in connecting citizens around the world; supporting the monitoring and tracking of human impacts on the environment; optimizing inefficient and energy-intensive industrial processes; and augmenting actions people carry out in support of sustainability goals, among many others. That is why GeSI, its members and partners are committed to action in delivering by 2030 the identified societal benefits in this report.î

While the report argues that digital technologies both established and cutting edge can be leading contributors to positive societal value, this will only become a reality if the focus on technological development and deployment is framed by a clear commitment to the SDGs. The opportunity, both for the ICT sector and the sectors and organizations at the forefront of deployment, is enormous. 

Over $3 trillion is likely to be spent on research and development in the ICT sector in the ten years up to 2030, indicating huge potential for innovative solutions to the SDGs if effectively directed and as existing technologies mature.

We are proud to introduce this new report, #DigitalWithPurpose-Delivering a Smarter2030, which identifies and quantifies the ways in which digital technologies, both established and cutting-edge, are capable of delivering transformative impact against each of the 17 SDGs. It also clearly lays out where these technologies can have a negative impact.";1
Safety, Security, Now Sustainability: The Nonfunctional Requirement for the 21st Century;Many software systems today control large-scale sociotechnical systems. These systems aren't just entangled with the environment but also with our dwindling resources and mostly unsustainable way of living, while the planet's population continues to grow. Dealing with sustainability requirements and systematically supporting their elicitation, analysis, and realization is a problem that has yet to be solved. Decades ago, the discipline of software engineering dealt with similar shortcomings in its processes by including safety and security as new system qualities. In light of the increasing consequences of inadequately addressing sustainability in developing software systems, software engineers must apply the lessons learned from these prior research efforts and identify the necessary research agenda. Considering sustainability in software engineering means more than energy efficiency and green IT, which are concerned with the first-order impacts of software systems. Software engineers must also take into account the second- and third-order impacts in the system context, even if they're hard to assess. By doing so, engineers have the potential to considerably improve civilization's sustainability. The Web extra at http://youtu.be/VC07j6a1XUw is a video in which author Birgit Penzenstadler talks about how software engineers can considerably improve civilization's sustainability by taking into account not just the first-order impacts of software systems but also their second- and third-order impacts.;1
Framing sustainability as a property of software quality;The sustainability analysis framework enables software developers to specifically consider environmental and social dimensions relative to technical and economic dimensions. The framework helps draw a more comprehensive picture of the relevant quality dimensions and, as a result, improve decision making. Sustainability is achievable only when accounting for all dimensions. Connections among the four dimensions involve different dependencies and stakeholders. The framework aims to capture the relevant qualities that characterize sustainability concerns of software systems, helping identify how these qualities influence each other with respect to the different aspects of sustainability. Moreover, interdependent quality requirements may influence one another, as in association/association-class influences among sustainability quality requirements. Integrating our four-dimensional sustainability analysis framework into the engineering processes of long-lived industrial systems provides valuable support to managers and engineers trying to satisfy not only economic and technical but also environmental and social sustainability requirements. The influences among the sustainability quality requirements must be determined by developers and/or stakeholders, as the framework can provide only the means for linking them but not the analysis itself. Constraints and parameters must be chosen by the developers, as it is not possible to list them in a way that is generic enough to be applicable in all circumstances and at the same time specific enough to be useful.;1
The GREENSOFT Model: A reference model for green and sustainable software and its engineering;The resource and power consumption of ICT is still increasing, but also the benefits of ICT, e.g. in finding more efficient solutions for environmental problems. To date, it is not clear, whether the resource and energy savings through ICT overbalance the resource and energy consumption by ICT, or not. Up to now, manifold efforts of Green IT address the environmental aspects of sustainability considering computer hardware. However, there is still a lack of models, descriptions or realizations in the area of computer software and software process models. In our contribution, we first propose definitions of the terms ìGreen and Sustainable Softwareî and ìGreen and Sustainable Software Engineeringî, then we outline a conceptual reference model, the GREENSOFT Model. This model includes a cradle-to-grave product life cycle model for software products, sustainability metrics and criteria for software, software engineering extensions for sustainably sound software design and development, as well as appropriate guidance.;1
A green model for sustainable software engineering;Information Communication Technology (ICT) has a strong impact on sustainable development due its rising demands for energy and resources needed when building hardware and software products. Most of the efforts spent on Green ICT/IT have been dedicated to addressing the effects of hardware on the environment but little have been considering the effects of building software products as well. Efficient software will indirectly consume less energy by using up less hardware equipment to run. Our contributions in this paper are devoted to building a two level green software model that covers the sustainable life cycle of a software product and the software tools promoting green and environmentally sustainable software. In the first level we propose a new green software engineering process that is a hybrid process between sequential, iterative, and agile development processes to produce an environmentally sustainable one. Each stage of the software process is then further studied to produce a green and sustainable stage. We propose either green guidelines or green processes for each software stage in the engineering process. We add to the software life cycle the requirements stage and the testing stage. We also include in the first level a complete list of metrics to measure the greenness of each stage in terms of the first order effects of ICT on the environment for a green software engineering process. No effort has been placed before in designing a green software engineering process. The second level explains how software itself can be used as a tool to aid in green computing by monitoring resources in an energy efficient manner. Finally, we show and explain relationships that can be found between the two levels in our proposed model to make the software engineering process and product green and sustainable.;1
Impacts of software and its engineering on the carbon footprint of ICT;The energy consumption of information and communication technology (ICT) is still increasing. Even though several solutions regarding the hardware side of Green IT exist, the software contribution to Green IT is not well investigated. The carbon footprint is one way to rate the environmental impacts of ICT. In order to get an impression of the induced CO2 emissions of software, we will present a calculation method for the carbon footprint of a software product over its life cycle. We also offer an approach on how to integrate some aspects of carbon footprint calculation into software development processes and discuss impacts and tools regarding this calculation method. We thus show the relevance of energy measurements and the attention to impacts on the carbon footprint by software within Green Software Engineering.;1
Green Software Engineering: The Curse of Methodology;Computer Science often seems distant from itsnatural science cousins, especially software engineering whichfeels closer to sociology and psychology than to physics. Physicalmeasurements are often rare in software engineering, except in afew niches. One such important niche is that of software energyconsumption, green mining, green IT, and sustainable computing, which all fall under the umbrella of green software engineering. With the physical measurement of energy consumption comesall of the limitations of measurement and experimentation thatexist in the natural sciences and engineering. Issues abound, fromattribution of energy use, isolation of components, to replicableexperiments. These get further complicated by cloud computingwhereby systems are virtualized and attribution of resource usageis a serious issue. Thus in this work we discuss the current state of softwareenergy consumption, and where will it go.;1
Sustainability in software engineering: A systematic literature review;Background: Supporting sustainability in software engineering is becoming an active area of research. We want to contribute the first Systematic Literature Review(SLR) in this field to aid researchers who are motivated to contribute to that topic by providing a body of knowledge as starting point, because we know from own experience, this search can be tedious and time consuming. Aim: We aim to provide an overview of different aspects of sustainability in software engineering research with regard to research activity, investigated topics, identified limitations, proposed approaches, used methods, available studies, and considered domains. Method: The applied method is a SLR in five reliable and commonly-used databases according to the (quasi-standard) protocol by Kitchenham et al. [1]. We assessed the 100 first results of each database ordered by relevance with respect to the search query. Results: Of 500 classified publications, we regard 96 as relevant for our research questions. We sketch a taxonomy of their topics and domains, and provide lists of used methods and proposed approaches. Most of the excluded publications were ruled out because of an unfitting usage of terms within the search query. Conclusions: Currently, there is little research coverage on the different aspects of sustainability in software engineering while other disciplines are already more active. Future work includes extending the study by reviewing a higher number of publications, including dedicated journal and workshop searches, and snowballing.;1
Interactions between environmental sustainability goals and software product quality: A mapping study;"Context
Sustainability is considered as either a quality requirement or a quality characteristic that should be included in software when environmental protection concerns are being taken into account. However, addressing sustainability in software projects might have an impact on the quality of the software product delivered. Conflicting goals between sustainability and particular software product characteristics should be studied when developing application software, since achieving usersí requirements can be a hindrance in the quest to meet sustainability goals.
Objective
This paper aims to provide an overview of the approaches found in the literature for dealing with interactions between software product quality and sustainability in the context of application software.
Method
A systematic mapping study is conducted to identify practices for managing interactions between software quality characteristics and sustainability. The selected papers are classified according to the quality characteristic considered and their influence on sustainability.
Results
Most of the 66 selected papers focused on validating current technologies concerning their support for sustainability (46%%). The interaction between performance efficiency and energy efficiency is what is reported most and there is a fairly positive interaction. In addition, reliability and usability point to a positive interaction with energy efficiency, while security shows a conflicting interaction with energy efficiency. Functional suitability and maintainability can present both positive and negative interaction, with different goals derived from environmental sustainability.
Conclusions
Interactions between software quality and sustainability have been addressed within an explorative approach. There is a need for additional research work to characterize the impact of interaction on both software quality and sustainability. Furthermore, proposals should be validated in industrial settings.";1
