T�tulo;Resumo;Selecionado
scone A Requirements Management Tool for the Specification and Variability-Based Analysis of Product Lines;Nowadays, industrial products as well as software applications are expected to be tailored to the user�s needs in an increasingly distinct manner. This often makes it necessary to design a vast number of customized variants, which leads to complex and error prone analysis and development processes. Generally, requirements engineering is considered to be one of the most significant activities in software and system development. Variant management has proven to play an important role in handling the complexity arising from mass-customization of products. However, there are only a few, often rather complex-to-use, applications which allow adding variance information directly to requirements. Especially in case of small and medium sized enterprises, approaches to meet this challenge often result in isolated solutions that are not driven by state of the art analysis methods and do not cope with future requirements. This paper introduces a lightweight requirements management tool called scone, which will be embedded into an overall variability management methodology. Scone enables the user to create and manage requirement specifications and augment them with variability information. Based on this specification, the requirements can be analyzed in a formal way with respect to their variability using the variability management tool Glencoe. Scone was created as a single page web application to eliminate the need for installation and allow it to run on many devices, while offering the experience of working with a native application, rather than a website. Both tools are designed to provide a proof of concept for the seamless integration of variability information within a system development process as well as to show how variability can be handled in an easy-to-use way from the very beginning within this process.;1
Mapping features to automatically identified object-oriented variability implementations: the case of ArgoUML-SPL;In Software Product Line (SPL) engineering, mapping domain features to existing code assets is essential for variability management. When variability is already implemented through Object-Oriented (OO) techniques, it is too costly and error-prone to refactor assets in terms of features or to use feature annotations. In this work, we delve into the possible usage of automatically identified variation points with variants in an OO code base to enable feature mapping from the domain level. We report on an experiment conducted over ArgoUML-SPL, using its code as input for automatic detection through the symfinder toolchain, and the previously devised domain features as a ground truth. We analyse the relevance of the identified variation points with variants w.r.t. domain features, adapting precision and recall measures. This shows that the approach is feasible, that an automatic mapping can be envisaged, and also that the symfinder visualization is adapted to this process with some slight additions.;1
Software Product Line Configuration and Traceability: An Empirical Study on SMarty Class and Component Diagrams;"A Software Product Line (SPL) represents a set of systems sharing common and variable features. The varying features and respective elements (variability) enable differentiating products of a certain domain. Thus, managing variability is a crucial activity for the success of SPL engineering, especially those based on UML due to a large amount of variability representation in different diagrams. There are few experiments in the literature to evaluate and to compare UML-based variability management approaches. In this paper, we analyze a subset of such approaches: SMarty (our approach), PLUS, and Razavian and Khosravi. We empirically compared them by conducting an experiment with more than 50 participants in terms of configuring SPL products and variability traceability among class and component diagram variable elements. We also analyzed the influence of the participants knowledge on the use of each approach and the amount of material consultation required for each variability management approach. In addition, we checked whether participants comprehend traceability capabilities of approaches. Results pointed out: SMarty is as effective as other studied approaches to configuring SPL specific products; the number of consultations on each approach instructional material did not influence effectiveness; and SMarty needs more participants previous knowledge on UML to configure SPL products.";1
REM4DSPL: A Requirements Engineering Method for Dynamic Software Product Lines;Dynamic Software Product Line (DSPL) is a set of software products capable of self-adapt and configure in run-time. DSPL products have common features (commonalities) and varying features (managed in run-time according to context changes). Objective: DSPL requirements engineering is challenging. Requirements engineers have to carefully plan self-adaptation while eliciting, modeling, and managing variability requirements. This paper introduces a method for DSPL requirements engineering. Method: We relied on empirically-derived activities of DSPL requirements engineering to build our method. We selected techniques and templates used in other domains such as SPL for refinement and incorporation into the method. We asked DSPL experts via a survey on the method applicability. Result: We introduced the Requirements Engineering Method for DSPL (REM4DSPL). Elicitation is guided by supervised discussions. Modeling relies on feature models. Variability Management is tool-assisted and validated via feature model inspection. DSPL experts agreed on the method applicability and suggested improvements. Conclusion: REM4DSPL relies on empirically-derived activities, techniques that have been successfully used by previous work, and templates adapted to the DSPL context. We expect our method to guide requirements engineers in practice.;1
RESDEC: Online Management Tool for Implementation Components Selection in Software Product Lines Using Recommender Systems;Software product lines (SPL) management is one of the most important activities for the software engineer and it represents one of the key pieces of software product line engineering. When a software system grow fast, configuring a product becomes a costly and error-prone activity due to the amount of features available for configuration. This process becomes more complex when for each feature, there is more than one component that implements it. Currently the tools available for configuration management do not have automated mechanisms to facilitate the optimal components selection that meet the functions required by a given product. In this paper, we introduce a prototype component-based recommender system called RESDEC (REcommender System that suggest implementation Components from selecteD fEatures) designed to manage the best implementation components alternatives. Our tool is validated using WordPress-based websites where the implementation components are represented by plugins and the recommendations generated by RESDEC help interested parties in the search and efficient plugins selection to configure websites.;1
Managing product lines variability in rich internet applications ;Rich Internet Applications refers to Web applications resembling desktop solutions with sophisticated user interactions, client-side processing, and asynchronous communications. Rich Internet applications have been evolved from traditional multi-page Web applications to single page applications which handle users' interactions without the need of full-refresh at each interaction. Although many techniques, methodologies, and technologies have been proposed in the rich Internet applications literature, the need for managing variability has not yet been conveniently addressed in this domain. According to software product lines research and practice, handling variability and commonality plays an important role in decreasing the development time and improving the quality of nal products. To this end, in this paper, we aim at employing the variability management techniques in the domain of rich Internet applications. We propose a variability modeling technique based on well-known feature modeling approach and provide a method for annotating rich Internet applications with variability and deriving final application based the given con guration. The proposed method is implemented in a tool named Varion which can be used along with existing rich Internet application tools and approaches. We applied the proposed approach on Angular, a well-known Model-View-Controller framework for developing rich Internet applications.;1
Configuring software product line specific products with smarty and plus: An experimental study on use case diagrams;Software Product Line (SPL) represents a set of systems that share common and variable elements, to meet the specific needs of a particular market segment, providing the necessary flexibility for product customization and diversification. The adoption of SPL provides several benefits, such as, the decreasing in time for building a system and reducing its cost. One of the main SPL development activities is variability management. To manage variabilities, there are several approaches widely known in literature, such as, PLUS and SMarty. Literature has no reports of experimental evaluations comparing existing approaches. With the creation of the SMarty approach, a continuous experimental evaluation process was started in relation to other approaches with the same purpose. Thus, experimental studies have been developed in recent years to demonstrate the effectiveness of SMarty in relation to other similar approaches. Thus, in this paper, we continue the process of continuous experimentation and evolution of SMarty comparing it with the PLUS method with regard to the ability to configure SPL specifics products from use case diagrams. The results did not point to the advantages of the SMarty approach over PLUS, but point out discussion points and improvements for SMarty and the experimentation process followed.;1
Variant management solution for large scale software product lines;Application lifecycle management for large scale software product lines (SPL) comes with the challenge to integrate distributed development activities across different parts of an organization and the engineering process in a tool landscape. Variant management is a cross-cutting concern that has interaction points with many of those integrated solutions. At Bosch, two different tools are used for variant management: pure::variants, a feature modeling tool for describing the feature-oriented product decomposition, and the custom tool MIC that offers a more comprehensive set of fine-grained variability management mechanisms. These include parameters, automated configurations or constraints. In turn, it is more suitable for component selection that is done close to the technology. In this experience report, we present a methodological approach on how to use the two tools with a technical integration solution we developed. Its purpose is to serve as an example for establishing successful variant management in large scale product lines with respect to methodology and tools.;1
Ontology-based automatically hidden web portal index;Many valuable databases on the Web have non-crawlable contents that are hidden behind the search forms. Information is available only by filling out HTML forms manually to query the underlying databases. For accessing data behind forms by automated agents, the critical task is having the corresponding query interfaces of the hidden databases that can be understood by machine. This paper presents an automatic approach of hidden Web portal index for various domains. It discovers and scrapes the query forms from Web pages based the tag-tree presentation, and then interpret them into the uniform mediate interfaces with the aid of domain ontology definition. To achieve high transformation accuracy, the domain ontology is also used to filter out the interfaces that are not related to the specific domain. The query interfaces gained finally represented with common concepts can automatically be indexed and retrieved by program. The experiments indicate that the algorithms used are efficient and the system is materially useful for information system or personalized Web search system to retrieval contents from hidden Web.;1
Automated Constraint-Based Multi-tenant SaaS Configuration Support Using XML Filtering Techniques ;The use of cloud computing is on the rise because of the cost effectiveness in providing the same resources to different tenants. Highly customizable Software-as-a-Service (SaaS) provide high scalability and lower cost as a result of multitenant nature of its cloud applications. However, there are several challenges that make its adoption difficult. Some of the weaknesses of current cloud offerings are complex configuration, development, deployment and management. This paper, investigates the different techniques and methods such as adaptation and variation management used to address these challenges. In addition, the details about how techniques from Software Product Line Engineering and Service Oriented Architecture are applied are addressed. Therefore, the paper extends an existing framework for constraint-based configuration management for cloud applications by integrating existing feature modeling tools with a XML filtering tool �Yfilter. The objective of the integration is to automate the process to identify matched tenant-specific requirements with the SaaS cloud application feature model. The automated process results in lower manual efforts and possible errors, and as a result less complex deployment and management of the SaaS application.;1
